Foto,Timestamp,Ángulo (°),Tiempo integración (ms),Tiempo sistema sin integración (ms),Delay entre fotos (ms),Tiempo total captura (ms),Resolución temporal real (ms),Media intensidad
1,20250528_131046_483154,0.0,320,91.79,5,411.79,416.79,57.08
2,20250528_131046_993744,1.8,320,105.28,5,425.28,430.28,57.35
3,20250528_131047_470604,3.6,320,94.27,5,414.27,419.27,58.2
4,20250528_131047_969325,5.4,320,94.73,5,414.73,419.73,58.43
5,20250528_131048_507793,7.2,320,157.68,5,477.68,482.68,58.39
6,20250528_131049_033158,9.0,320,96.44,5,416.44,421.44,58.37
7,20250528_131049_567691,10.8,320,153.35,5,473.35,478.35,57.43
8,20250528_131050_068637,12.6,320,112.24,5,432.24,437.24,56.3
9,20250528_131050_629836,14.4,320,187.41,5,507.41,512.41,54.73
10,20250528_131051_109719,16.2,320,90.5,5,410.5,415.5,54.56
11,20250528_131051_662797,18.0,320,174.28,5,494.28,499.28,54.22
12,20250528_131052_166167,19.8,320,117.25,5,437.25,442.25,55.53
13,20250528_131052_666924,21.6,320,120.62,5,440.62,445.62,56.09
14,20250528_131053_191699,23.4,320,142.83,5,462.83,467.83,56.53
15,20250528_131053_709218,25.2,320,104.8,5,424.8,429.8,55.65
16,20250528_131054_196443,27.0,320,90.55,5,410.55,415.55,56.13
17,20250528_131054_670429,28.8,320,98.34,5,418.34,423.34,56.53
18,20250528_131055_147736,30.6,320,89.04,5,409.04,414.04,55.99
19,20250528_131055_700028,32.4,320,184.54,5,504.54,509.54,55.32
20,20250528_131056_231654,34.2,320,140.96,5,460.96,465.96,54.82
RESUMEN,-,-,320,122.34,5,442.34,447.34,56.38
TOTAL,-,-,-,-,-,10737.73,-,-
