Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250519_151601_491954,2331.33,2299.33,N/A
2,20250519_151603_656642,2077.42,2045.42,0.0
3,20250519_151605_589478,1916.24,1884.24,1.8
4,20250519_151608_097278,2440.54,2408.54,3.6
5,20250519_151610_627081,2491.04,2459.04,5.4
6,20250519_151612_926361,2262.45,2230.45,7.2
7,20250519_151615_323336,2353.04,2321.04,9.0
8,20250519_151617_625361,2261.58,2229.58,10.8
9,20250519_151619_952947,2276.32,2244.32,12.6
10,20250519_151622_277660,2278.5,2246.5,14.4
11,20250519_151624_518031,2196.44,2164.44,16.2
12,20250519_151626_839896,2275.78,2243.78,18.0
13,20250519_151629_271479,2385.72,2353.72,19.8
14,20250519_151631_453072,2132.38,2100.38,21.6
15,20250519_151634_081466,2587.98,2555.98,23.4
16,20250519_151636_368872,2243.22,2211.22,25.2
17,20250519_151638_844826,2424.38,2392.38,27.0
18,20250519_151641_018790,2131.14,2099.14,28.8
19,20250519_151643_246712,2189.19,2157.19,30.6
20,20250519_151645_461912,2168.14,2136.14,32.4
