Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250519_145127_022454,333.81,301.81,N/A
2,20250519_145127_836153,329.78,297.78,0.0
3,20250519_145128_152663,316.54,284.54,1.8
4,20250519_145128_475495,322.19,290.19,3.6
5,20250519_145128_794188,317.91,285.91,5.4
6,20250519_145129_115151,320.6,288.6,7.2
7,20250519_145129_469789,352.2,320.2,9.0
8,20250519_145129_797202,327.26,295.26,10.8
9,20250519_145130_117844,319.13,287.13,12.6
10,20250519_145130_445322,327.03,295.03,14.4
11,20250519_145130_780113,334.8,302.8,16.2
12,20250519_145131_101566,320.48,288.48,18.0
13,20250519_145131_425513,323.08,291.08,19.8
14,20250519_145131_749544,323.79,291.79,21.6
15,20250519_145132_077362,327.3,295.3,23.4
16,20250519_145132_408809,329.8,297.8,25.2
17,20250519_145132_731105,322.72,290.72,27.0
18,20250519_145133_064325,332.51,300.51,28.8
19,20250519_145133_394850,329.74,297.74,30.6
20,20250519_145133_719077,323.37,291.37,32.4
