Foto,Timestamp,Tiempo total (ms),Retraso aprox. sincronización (ms),Ángulo (°)
1,20250521_160345_430275,248.91,88.91,0.0
2,20250521_160345_705883,273.98,113.98,1.8
3,20250521_160345_982282,272.11,112.11,3.6
4,20250521_160346_209680,225.55,65.55,5.4
5,20250521_160346_470858,258.22,98.22,7.2
6,20250521_160346_750969,277.01,117.01,9.0
7,20250521_160347_032353,277.46,117.46,10.8
8,20250521_160347_345764,307.41,147.41,12.6
9,20250521_160347_617865,270.25,110.25,14.4
10,20250521_160347_898848,276.71,116.71,16.2
11,20250521_160348_148851,247.61,87.61,18.0
12,20250521_160348_408392,255.4,95.4,19.8
13,20250521_160348_700924,287.92,127.92,21.6
14,20250521_160348_971639,267.86,107.86,23.4
15,20250521_160349_260014,282.72,122.72,25.2
16,20250521_160349_486828,224.32,64.32,27.0
17,20250521_160349_715973,228.0,68.0,28.8
18,20250521_160349_936165,219.56,59.56,30.6
19,20250521_160350_169942,231.39,71.39,32.4
20,20250521_160350_396772,226.32,66.32,34.2
