Foto,Timestamp,Ángulo (°),Tiempo integración (ms),Tiempo sistema sin integración (ms),Delay entre fotos (ms),Tiempo total captura (ms),Resolución temporal real (ms),Media intensidad
1,20250528_175007_668756,0.0,160,282.42,5,442.42,447.42,35.03
2,20250528_175008_189570,1.8,160,236.66,5,396.66,401.66,35.34
3,20250528_175008_599540,3.6,160,175.99,5,335.99,340.99,36.27
4,20250528_175009_025167,5.4,160,173.9,5,333.9,338.9,36.19
5,20250528_175009_407206,7.2,160,179.47,5,339.47,344.47,37.47
6,20250528_175009_852309,9.0,160,271.51,5,431.51,436.51,37.67
7,20250528_175010_300775,10.8,160,172.5,5,332.5,337.5,36.74
8,20250528_175010_719760,12.6,160,176.83,5,336.83,341.83,36.7
9,20250528_175011_170204,14.4,160,289.25,5,449.25,454.25,35.19
10,20250528_175011_636027,16.2,160,133.27,5,293.27,298.27,33.47
11,20250528_175012_013075,18.0,160,293.98,5,453.98,458.98,33.21
12,20250528_175012_587799,19.8,160,198.17,5,358.17,363.17,33.26
13,20250528_175013_021246,21.6,160,260.56,5,420.56,425.56,34.13
14,20250528_175013_580046,23.4,160,349.48,5,509.48,514.48,34.3
15,20250528_175014_211182,25.2,160,326.48,5,486.48,491.48,34.46
16,20250528_175014_749612,27.0,160,200.39,5,360.39,365.39,35.26
17,20250528_175015_142342,28.8,160,193.0,5,353.0,358.0,35.46
18,20250528_175015_517402,30.6,160,155.27,5,315.27,320.27,34.08
19,20250528_175015_928576,32.4,160,253.79,5,413.79,418.79,33.36
20,20250528_175016_425361,34.2,160,200.31,5,360.31,365.31,33.21
RESUMEN,-,-,160,226.16,5,386.16,391.16,35.04
TOTAL,-,-,-,-,-,9683.92,-,-
