Foto,Timestamp,Ángulo (°),Tiempo integración (ms),Tiempo sistema sin integración (ms),Delay entre fotos (ms),Tiempo total captura (ms),Resolución temporal real (ms),Media intensidad
1,20250528_130813_959642,0.0,32,99.01,5,131.01,136.01,9.53
2,20250528_130814_345244,1.8,32,229.53,5,261.53,266.53,9.96
3,20250528_130814_563018,3.6,32,108.76,5,140.76,145.76,10.36
4,20250528_130814_911960,5.4,32,229.5,5,261.5,266.5,9.99
5,20250528_130815_125624,7.2,32,94.75,5,126.75,131.75,10.03
6,20250528_130815_465997,9.0,32,210.01,5,242.01,247.01,10.19
7,20250528_130815_668606,10.8,32,97.56,5,129.56,134.56,10.54
8,20250528_130815_888500,12.6,32,87.3,5,119.3,124.3,9.59
9,20250528_130816_090811,14.4,32,102.64,5,134.64,139.64,8.97
10,20250528_130816_423299,16.2,32,219.34,5,251.34,256.34,9.22
11,20250528_130816_719507,18.0,32,198.04,5,230.04,235.04,8.7
12,20250528_130817_057041,19.8,32,216.79,5,248.79,253.79,8.84
13,20250528_130817_257882,21.6,32,94.24,5,126.24,131.24,9.44
14,20250528_130817_445238,23.4,32,91.2,5,123.2,128.2,9.08
15,20250528_130817_825447,25.2,32,298.2,5,330.2,335.2,9.8
16,20250528_130818_168424,27.0,32,210.0,5,242.0,247.0,10.15
17,20250528_130818_368309,28.8,32,91.6,5,123.6,128.6,10.09
18,20250528_130818_711151,30.6,32,250.93,5,282.93,287.93,8.99
19,20250528_130818_904735,32.4,32,92.75,5,124.75,129.75,8.34
20,20250528_130819_097517,34.2,32,93.76,5,125.76,130.76,8.32
RESUMEN,-,-,32,155.8,5,187.8,192.8,9.51
TOTAL,-,-,-,-,-,5904.14,-,-
