Foto,Timestamp,Ángulo (°),Tiempo integración (ms),Tiempo sistema sin integración (ms),Delay entre fotos (ms),Tiempo total captura (ms),Resolución temporal real (ms),Media intensidad
1,20250528_134204_697954,0.0,32,172.98,10,204.98,214.98,8.84
2,20250528_134204_989833,1.8,32,134.97,10,166.97,176.97,9.1
3,20250528_134205_220080,3.6,32,102.43,10,134.43,144.43,8.79
4,20250528_134205_431161,5.4,32,103.89,10,135.89,145.89,9.55
5,20250528_134205_663572,7.2,32,115.41,10,147.41,157.41,9.12
6,20250528_134205_879294,9.0,32,105.4,10,137.4,147.4,9.51
7,20250528_134206_109830,10.8,32,107.86,10,139.86,149.86,10.21
8,20250528_134206_328358,12.6,32,96.22,10,128.22,138.22,9.06
9,20250528_134206_548724,14.4,32,141.07,10,173.07,183.07,9.02
10,20250528_134206_805004,16.2,32,98.62,10,130.62,140.62,8.3
11,20250528_134207_032234,18.0,32,111.26,10,143.26,153.26,8.09
12,20250528_134207_255782,19.8,32,111.12,10,143.12,153.12,8.09
13,20250528_134207_472913,21.6,32,96.0,10,128.0,138.0,9.09
14,20250528_134207_691265,23.4,32,96.94,10,128.94,138.94,8.22
15,20250528_134207_914130,25.2,32,94.65,10,126.65,136.65,9.2
16,20250528_134208_133244,27.0,32,94.71,10,126.71,136.71,9.0
17,20250528_134208_425012,28.8,32,161.95,10,193.95,203.95,10.38
18,20250528_134208_638434,30.6,32,96.77,10,128.77,138.77,9.62
19,20250528_134208_869710,32.4,32,103.07,10,135.07,145.07,7.64
20,20250528_134209_126100,34.2,32,136.61,10,168.61,178.61,6.87
RESUMEN,-,-,32,114.1,10,146.1,156.1,8.88
TOTAL,-,-,-,-,-,5259.18,-,-
